-0.944134 1.510143 0.6307871|-0.3765361 0.7978541 0.614899|-1.449497 0.6956701 0.5911257|-0.9163578 0.9382691 0.4768721|-0.8832562 0.02168536 0.6426834|-1.051289 0.0203104 0.6185107
-0.9453723 1.510132 0.6305866|-0.3937275 0.7809029 0.6118717|-1.430511 0.6805116 0.586184|-0.9173267 0.938172 0.4763627|-0.8832576 0.02168679 0.6426687|-1.051234 0.02033067 0.6185184
-0.9465969 1.510189 0.6304188|-0.4088781 0.7665175 0.6094017|-1.413953 0.6692889 0.5823827|-0.918288 0.9381694 0.4759266|-0.88323 0.02168155 0.6427528|-1.051227 0.0203104 0.6185191
-0.9478948 1.510248 0.6302625|-0.4258173 0.7520143 0.6074437|-1.396286 0.6582633 0.5778458|-0.9192293 0.9382365 0.4754884|-0.8832057 0.02181005 0.64268|-1.051227 0.02030993 0.6185189
-0.9492614 1.510233 0.6300772|-0.4428761 0.7389179 0.605854|-1.3788 0.6483163 0.5732056|-0.9202597 0.9382709 0.4750603|-0.8831856 0.021837 0.6427177|-1.051175 0.0203054 0.6185848
-0.950649 1.510175 0.6298586|-0.4601762 0.7256919 0.6040745|-1.361893 0.6385044 0.5695117|-0.9213855 0.9382923 0.4746375|-0.8833015 0.02185202 0.6426444|-1.051257 0.02027726 0.618577
-0.9520829 1.510063 0.6295874|-0.477762 0.7142606 0.6022203|-1.345031 0.6302515 0.5664691|-0.9224961 0.9383076 0.47413|-0.8832772 0.02183938 0.6426282|-1.051276 0.02032614 0.6185389
-0.9535186 1.510044 0.6293097|-0.4947326 0.7042711 0.6001267|-1.327965 0.6222345 0.5634031|-0.9233673 0.9382666 0.4735779|-0.8830507 0.02178669 0.6427145|-1.051237 0.0203588 0.6185601
-0.9550393 1.510075 0.6289552|-0.5120151 0.6945515 0.5981702|-1.312615 0.6162302 0.5606544|-0.9243209 0.9382057 0.4730014|-0.8830316 0.02177548 0.6426617|-1.051221 0.02035689 0.6185304
-0.9565179 1.51017 0.6285814|-0.5287621 0.6849804 0.5961236|-1.297347 0.610207 0.5578942|-0.9252927 0.938174 0.4724679|-0.883003 0.02175927 0.6426753|-1.050799 0.02006364 0.6185112
-0.9581044 1.510192 0.6281495|-0.5452445 0.6767561 0.5948442|-1.28361 0.605728 0.5554221|-0.9263327 0.9382184 0.4718351|-0.8830574 0.02179098 0.6424989|-1.050822 0.02015376 0.6185
-0.9596331 1.510235 0.6277567|-0.5607755 0.6698112 0.5937482|-1.270975 0.6018481 0.5537009|-0.9274685 0.9381886 0.4711688|-0.8831537 0.02172136 0.6426717|-1.051051 0.02018213 0.6185722
-0.9612129 1.510221 0.6273104|-0.5758584 0.6636722 0.593474|-1.259213 0.5982329 0.5529149|-0.9284933 0.9382439 0.4704013|-0.8831408 0.02175164 0.642756|-1.051064 0.02017713 0.6185652
-0.9628742 1.510157 0.6267942|-0.5906808 0.6575408 0.5931188|-1.248698 0.5951825 0.5533775|-0.9294264 0.9382776 0.4695448|-0.8831437 0.02178407 0.6427653|-1.051051 0.02012229 0.6185756
-0.9645364 1.510064 0.6262773|-0.6043222 0.653784 0.5941478|-1.238824 0.5926024 0.5541133|-0.9303248 0.9382602 0.4687428|-0.8830297 0.02166033 0.6427099|-1.051221 0.0201633 0.6185396
-0.9661367 1.509958 0.6257294|-0.6160758 0.6513118 0.5957899|-1.233946 0.5919311 0.5575008|-0.9311769 0.9382463 0.4679685|-0.882992 0.02170444 0.6426811|-1.051233 0.02016521 0.6184704
-0.9678299 1.50994 0.6251661|-0.6272657 0.6496258 0.5979371|-1.228241 0.5907122 0.5598458|-0.931864 0.9382293 0.4670552|-0.8828943 0.02174377 0.6428182|-1.051312 0.0201304 0.6184009
-0.9695365 1.509902 0.6246287|-0.6367657 0.6485529 0.6006316|-1.226283 0.5908557 0.5642674|-0.9327333 0.9382505 0.4660437|-0.8829057 0.02170992 0.6427999|-1.051273 0.0202024 0.6184692
-0.9712141 1.509868 0.6240728|-0.6459267 0.6475962 0.6032137|-1.223613 0.5912046 0.568791|-0.933531 0.938257 0.46494|-0.8828509 0.02160263 0.6428225|-1.051212 0.01988173 0.618333
-0.9729688 1.509825 0.6235038|-0.6520913 0.6482962 0.6069752|-1.22463 0.5925678 0.5755363|-0.9343526 0.9383204 0.46386|-0.8829553 0.02165031 0.6428311|-1.051234 0.01991868 0.6184279
-0.9746807 1.509833 0.6229473|-0.6573865 0.6505605 0.6109755|-1.227086 0.5949934 0.5832355|-0.9352601 0.9383913 0.4626707|-0.8830073 0.02158403 0.6429639|-1.051049 0.01989865 0.6184715
-0.9764001 1.509847 0.6223912|-0.6620691 0.6526033 0.6146817|-1.230122 0.5985682 0.5926269|-0.936156 0.9384485 0.4613308|-0.883076 0.02157569 0.6429338|-1.051055 0.01988101 0.6184502
-0.9781406 1.509816 0.6218216|-0.6650388 0.6559191 0.6194397|-1.233471 0.6019342 0.6019186|-0.937156 0.9385717 0.4598985|-0.8830659 0.02152467 0.6429527|-1.050962 0.01988912 0.6184906
-0.9798586 1.509695 0.6212206|-0.6670625 0.6601983 0.6250765|-1.239923 0.6069171 0.6120377|-0.9383366 0.9388105 0.4584352|-0.8831799 0.02156258 0.6429142|-1.051254 0.01995778 0.6183437
-0.9815586 1.50956 0.6206353|-0.668102 0.6652647 0.6314212|-1.247211 0.6122631 0.6221474|-0.9395483 0.9390585 0.4569463|-0.8832538 0.02147675 0.6429381|-1.05128 0.01989961 0.6183294
-0.9832532 1.509309 0.6201149|-0.6678092 0.6719998 0.6383506|-1.254751 0.6176692 0.631565|-0.9408023 0.9394181 0.4551783|-0.883332 0.0215714 0.6429393|-1.051385 0.02001572 0.618264
-0.985009 1.509007 0.619508|-0.6684511 0.6778313 0.6453773|-1.263346 0.6243516 0.6418686|-0.9420764 0.9396303 0.453463|-0.8833897 0.02168107 0.6430252|-1.051579 0.01988602 0.6181995
-0.9866464 1.508549 0.6189672|-0.668906 0.6840696 0.6522934|-1.270855 0.6310713 0.6521051|-0.9434202 0.9397624 0.4514964|-0.8835652 0.02167225 0.6431937|-1.051698 0.01989555 0.6182461
-0.9881957 1.507939 0.618409|-0.6687009 0.6913991 0.6600217|-1.279258 0.6396333 0.6634378|-0.9447496 0.9396164 0.4494666|-0.8835938 0.0217371 0.6433929|-1.051737 0.01986814 0.6182016
-0.9897249 1.507374 0.6178346|-0.6682584 0.699733 0.6681749|-1.286725 0.6478837 0.6743807|-0.9460232 0.9396024 0.4474537|-0.8833864 0.02169228 0.6436692|-1.051578 0.01985574 0.6182165
-0.9912198 1.506787 0.6172582|-0.6676328 0.7082989 0.6762519|-1.295962 0.657879 0.685688|-0.9474208 0.9395822 0.4452965|-0.8833854 0.02153301 0.6443566|-1.05159 0.01983905 0.6181825
-0.9925978 1.506257 0.6166446|-0.6677172 0.7171028 0.6843281|-1.302883 0.6682682 0.6972244|-0.9485343 0.9393415 0.4432441|-0.883393 0.02142882 0.6450734|-1.051715 0.01988077 0.6182737
-0.9939401 1.505724 0.6160266|-0.6674898 0.7263492 0.6920269|-1.310543 0.6788435 0.7082623|-0.9496405 0.9392112 0.4413373|-0.8831122 0.02129507 0.6458257|-1.051733 0.01984549 0.6182518
-0.9952047 1.505192 0.6153829|-0.6676815 0.7364252 0.7000513|-1.316882 0.6907852 0.720405|-0.9507544 0.9390604 0.4395658|-0.8828466 0.02146888 0.6469494|-1.051685 0.01984501 0.6181742
-0.9964211 1.504769 0.6147937|-0.6680853 0.7468716 0.7077473|-1.323262 0.7034733 0.7322204|-0.9516232 0.9389193 0.4378368|-0.8827374 0.02160883 0.6484684|-1.051662 0.0198431 0.6182437
-0.9976637 1.504525 0.6142225|-0.6685851 0.7581097 0.7151861|-1.32876 0.71645 0.7439077|-0.9527218 0.9387201 0.4361351|-0.8826911 0.02203727 0.6502051|-1.051677 0.01981735 0.6182381
-0.9987357 1.504296 0.6137048|-0.6694448 0.76991 0.7222785|-1.333565 0.7302597 0.7550919|-0.9534605 0.9386511 0.4347006|-0.8830354 0.02330565 0.652862|-1.051768 0.01989293 0.6183259
-0.999716 1.504063 0.6131129|-0.6704199 0.7818372 0.7287754|-1.3382 0.7449838 0.7662256|-0.9543016 0.9383794 0.4332272|-0.883148 0.02512908 0.6551428|-1.051753 0.0198679 0.6182811
-1.000609 1.503887 0.612594|-0.6715333 0.7938298 0.7347401|-1.343078 0.7593821 0.776289|-0.9549005 0.9382874 0.4319807|-0.8832271 0.0290761 0.6560529|-1.051687 0.01980615 0.6181417
-1.001478 1.503821 0.6120096|-0.6729839 0.806859 0.7404201|-1.34663 0.7766498 0.7861444|-0.9554269 0.9383625 0.4309527|-0.8832886 0.03496718 0.6566693|-1.051739 0.01976109 0.6181234
